Borough,Street_Names,All_Lines,Line1,Line2,Line3,Line4,Line5,Line6,Line7,Year,Quarter,American Indian,Asian/Pac Isl,Black,Hispanic,Unknown,White,Grand Total
Bronx,149 ST.-GRAND CONCOURSE,4,4,NA,NA,NA,NA,NA,NA,2018,1,0,0,3,1,0,0,4
Bronx,161 ST.-YANKEE STADIUM,4,4,NA,NA,NA,NA,NA,NA,2018,1,0,0,0,0,0,1,1
Bronx,161 ST.-YANKEE STADIUM,"B,D",B,D,NA,NA,NA,NA,NA,2018,1,0,1,15,9,0,0,25
Bronx,167 STREET,4,4,NA,NA,NA,NA,NA,NA,2018,1,0,0,3,0,0,0,3
Bronx,167 STREET,"B,D",B,D,NA,NA,NA,NA,NA,2018,1,0,0,1,0,0,0,1
Bronx,170 STREET,4,4,NA,NA,NA,NA,NA,NA,2018,1,0,0,3,2,0,0,5
Bronx,170 STREET,"B,D",B,D,NA,NA,NA,NA,NA,2018,1,0,0,1,1,0,0,2
Bronx,174-175 STREETS,"B,D",B,D,NA,NA,NA,NA,NA,2018,1,0,0,7,5,0,0,12
Bronx,176 STREET,4,4,NA,NA,NA,NA,NA,NA,2018,1,0,0,7,6,0,1,14
Bronx,182-183 STREETS,"B,D",B,D,NA,NA,NA,NA,NA,2018,1,0,0,0,2,0,0,2
Bronx,183 STREET,4,4,NA,NA,NA,NA,NA,NA,2018,1,0,1,0,3,0,1,5
Bronx,205 ST.-NORWOOD,D,D,NA,NA,NA,NA,NA,NA,2018,1,0,0,4,1,0,0,5
Bronx,219 STREET,"2,5",2,5,NA,NA,NA,NA,NA,2018,1,0,0,9,4,0,0,13
Bronx,225 STREET,"2,5",2,5,NA,NA,NA,NA,NA,2018,1,0,0,1,0,0,0,1
Bronx,238 ST.-NEREID AVE.,"2,5",2,5,NA,NA,NA,NA,NA,2018,1,0,0,1,0,0,0,1
Bronx,241 ST.-WAKEFIELD,2,2,NA,NA,NA,NA,NA,NA,2018,1,0,0,4,1,0,0,5
Bronx,3 AVENUE-138 STREET,6,6,NA,NA,NA,NA,NA,NA,2018,1,0,0,9,10,0,1,20
Bronx,3 AVENUE-149 STREET,"2,5",2,5,NA,NA,NA,NA,NA,2018,1,0,0,24,12,0,6,42
Bronx,ALLERTON AVENUE,"2,5",2,5,NA,NA,NA,NA,NA,2018,1,0,0,5,2,0,0,7
Bronx,BRONX PARK EAST,"2,5",2,5,NA,NA,NA,NA,NA,2018,1,0,0,1,0,0,0,1
Bronx,BROOK AVENUE,6,6,NA,NA,NA,NA,NA,NA,2018,1,0,0,1,0,0,0,1
Bronx,BURKE AVENUE,"2,5",2,5,NA,NA,NA,NA,NA,2018,1,0,0,1,1,0,0,2
Bronx,BURNSIDE AVENUE,4,4,NA,NA,NA,NA,NA,NA,2018,1,0,0,3,2,0,0,5
Bronx,CASTLE HILL AVENUE,6,6,NA,NA,NA,NA,NA,NA,2018,1,0,0,2,2,0,0,4
Bronx,CYPRESS AVENUE,6,6,NA,NA,NA,NA,NA,NA,2018,1,0,0,1,0,0,0,1
Bronx,DYRE AVE.-EASTCHESTER,5,5,NA,NA,NA,NA,NA,NA,2018,1,0,0,1,0,0,0,1
Bronx,EAST 149 STREET,6,6,NA,NA,NA,NA,NA,NA,2018,1,0,0,4,2,0,1,7
