Borough,Street_Names,All_Lines,Line1,Line2,Line3,Line4,Line5,Line6,Line7,Year,Quarter,American Indian,Asian/Pac Isl,Black,Hispanic,Unknown,White,Grand Total
Bronx,138 ST.-GRAND CONCOURSE,"4,5",4,5,NA,NA,NA,NA,NA,2018,1,0,0,2,1,0,0,3
Bronx,149 ST.-GRAND CONCOURSE,"2,5",2,5,NA,NA,NA,NA,NA,2018,1,0,0,1,1,0,0,2
Bronx,149 ST.-GRAND CONCOURSE,4,4,NA,NA,NA,NA,NA,NA,2018,1,0,2,17,8,1,2,30
Bronx,161 ST.-YANKEE STADIUM,4,4,NA,NA,NA,NA,NA,NA,2018,1,0,1,5,13,0,0,19
Bronx,161 ST.-YANKEE STADIUM,"B,D",B,D,NA,NA,NA,NA,NA,2018,1,0,1,25,28,3,1,58
Bronx,167 STREET,4,4,NA,NA,NA,NA,NA,NA,2018,1,0,0,13,9,0,0,22
Bronx,167 STREET,"B,D",B,D,NA,NA,NA,NA,NA,2018,1,0,0,10,3,0,0,13
Bronx,170 STREET,4,4,NA,NA,NA,NA,NA,NA,2018,1,0,0,7,12,1,0,20
Bronx,170 STREET,"B,D",B,D,NA,NA,NA,NA,NA,2018,1,0,0,11,8,0,0,19
Bronx,174-175 STREETS,"B,D",B,D,NA,NA,NA,NA,NA,2018,1,0,5,28,25,1,5,64
Bronx,176 STREET,4,4,NA,NA,NA,NA,NA,NA,2018,1,0,0,14,10,0,1,25
Bronx,182-183 STREETS,"B,D",B,D,NA,NA,NA,NA,NA,2018,1,0,0,6,16,0,0,22
Bronx,183 STREET,4,4,NA,NA,NA,NA,NA,NA,2018,1,0,0,6,6,0,1,13
Bronx,205 ST.-NORWOOD,D,D,NA,NA,NA,NA,NA,NA,2018,1,0,0,3,13,1,0,17
Bronx,219 STREET,"2,5",2,5,NA,NA,NA,NA,NA,2018,1,0,0,12,7,1,0,20
Bronx,225 STREET,"2,5",2,5,NA,NA,NA,NA,NA,2018,1,0,1,5,3,0,0,9
Bronx,233 STREET,"2,5",2,5,NA,NA,NA,NA,NA,2018,1,0,0,5,1,0,2,8
Bronx,238 ST.-NEREID AVE.,"2,5",2,5,NA,NA,NA,NA,NA,2018,1,0,0,2,0,0,0,2
Bronx,241 ST.-WAKEFIELD,2,2,NA,NA,NA,NA,NA,NA,2018,1,0,0,25,9,1,0,35
Bronx,3 AVENUE-138 STREET,6,6,NA,NA,NA,NA,NA,NA,2018,1,0,1,17,18,0,3,39
Bronx,3 AVENUE-149 STREET,"2,5",2,5,NA,NA,NA,NA,NA,2018,1,0,4,48,52,0,5,109
Bronx,ALLERTON AVENUE,"2,5",2,5,NA,NA,NA,NA,NA,2018,1,0,1,8,8,1,0,18
Bronx,BAYCHESTER AVENUE,5,5,NA,NA,NA,NA,NA,NA,2018,1,0,0,5,2,0,0,7
Bronx,BEDFORD PK. BLVD.,"B,D",B,D,NA,NA,NA,NA,NA,2018,1,0,0,0,3,0,0,3
Bronx,BRONX PARK EAST,"2,5",2,5,NA,NA,NA,NA,NA,2018,1,0,0,4,4,1,0,9
Bronx,BROOK AVENUE,6,6,NA,NA,NA,NA,NA,NA,2018,1,0,0,1,2,0,0,3
Bronx,BURKE AVENUE,"2,5",2,5,NA,NA,NA,NA,NA,2018,1,0,0,3,3,0,0,6
Bronx,BURNSIDE AVENUE,4,4,NA,NA,NA,NA,NA,NA,2018,1,0,0,7,11,1,1,20
Bronx,CASTLE HILL AVENUE,6,6,NA,NA,NA,NA,NA,NA,2018,1,0,0,5,7,0,1,13
Bronx,CYPRESS AVENUE,6,6,NA,NA,NA,NA,NA,NA,2018,1,0,0,1,1,0,0,2
Bronx,DYRE AVE.-EASTCHESTER,5,5,NA,NA,NA,NA,NA,NA,2018,1,0,0,1,0,0,0,1
Bronx,EAST 143 ST.-ST. MARYS STREET,6,6,NA,NA,NA,NA,NA,NA,2018,1,0,0,0,1,0,0,1
