Year,Quarter,final_Borough,final_Street_Names,final_All_Lines,American Indian_arrests,Black_arrests,Hispanic_arrests,Unknown_arrests,White_arrests,Grand Total_arrests,American Indian_summonses,Black_summonses,Hispanic_summonses,Unknown_summonses,White_summonses,Grand Total_summonses
2018,1,Bronx,149 ST.-GRAND CONCOURSE,4,0,3,1,0,0,4,0,17,8,1,2,30
2018,1,Bronx,161 ST.-YANKEE STADIUM,4,0,0,0,0,1,1,0,5,13,0,0,19
2018,1,Bronx,161 ST.-YANKEE STADIUM,"B,D",0,15,9,0,0,25,0,25,28,3,1,58
2018,1,Bronx,167 STREET,4,0,3,0,0,0,3,0,13,9,0,0,22
2018,1,Bronx,167 STREET,"B,D",0,1,0,0,0,1,0,10,3,0,0,13
2018,1,Bronx,170 STREET,4,0,3,2,0,0,5,0,7,12,1,0,20
2018,1,Bronx,170 STREET,"B,D",0,1,1,0,0,2,0,11,8,0,0,19
2018,1,Bronx,174-175 STREETS,"B,D",0,7,5,0,0,12,0,28,25,1,5,64
2018,1,Bronx,176 STREET,4,0,7,6,0,1,14,0,14,10,0,1,25
2018,1,Bronx,182-183 STREETS,"B,D",0,0,2,0,0,2,0,6,16,0,0,22
2018,1,Bronx,183 STREET,4,0,0,3,0,1,5,0,6,6,0,1,13
2018,1,Bronx,205 ST.-NORWOOD,D,0,4,1,0,0,5,0,3,13,1,0,17
2018,1,Bronx,219 STREET,"2,5",0,9,4,0,0,13,0,12,7,1,0,20
2018,1,Bronx,225 STREET,"2,5",0,1,0,0,0,1,0,5,3,0,0,9
2018,1,Bronx,238 ST.-NEREID AVE.,"2,5",0,1,0,0,0,1,0,2,0,0,0,2
2018,1,Bronx,241 ST.-WAKEFIELD,2,0,4,1,0,0,5,0,25,9,1,0,35
2018,1,Bronx,3 AVENUE-138 STREET,6,0,9,10,0,1,20,0,17,18,0,3,39
2018,1,Bronx,3 AVENUE-149 STREET,"2,5",0,24,12,0,6,42,0,48,52,0,5,109
2018,1,Bronx,ALLERTON AVENUE,"2,5",0,5,2,0,0,7,0,8,8,1,0,18
2018,1,Bronx,BRONX PARK EAST,"2,5",0,1,0,0,0,1,0,4,4,1,0,9
2018,1,Bronx,BROOK AVENUE,6,0,1,0,0,0,1,0,1,2,0,0,3
2018,1,Bronx,BURKE AVENUE,"2,5",0,1,1,0,0,2,0,3,3,0,0,6
2018,1,Bronx,BURNSIDE AVENUE,4,0,3,2,0,0,5,0,7,11,1,1,20
2018,1,Bronx,CASTLE HILL AVENUE,6,0,2,2,0,0,4,0,5,7,0,1,13
2018,1,Bronx,CYPRESS AVENUE,6,0,1,0,0,0,1,0,1,1,0,0,2
2018,1,Bronx,DYRE AVE.-EASTCHESTER,5,0,1,0,0,0,1,0,1,0,0,0,1
2018,1,Bronx,EAST 149 STREET,6,0,4,2,0,1,7,0,3,4,0,0,7
2018,1,Bronx,EAST 174 STREET,"2,5",0,7,4,0,0,11,0,11,17,0,1,29
2018,1,Bronx,EAST 177 ST.-PARKCHESTER,6,0,4,1,0,0,5,0,5,3,2,1,11
2018,1,Bronx,EAST 180 STREET,"2,5",0,6,3,0,0,9,0,6,4,1,0,11
2018,1,Bronx,EAST TREMONT AV.-WESTCHESTER SQ.,6,0,1,0,0,0,1,0,1,4,0,1,6
2018,1,Bronx,EAST TREMONT AVE.-WEST FARMS SQ.,"2,5",0,0,2,0,0,2,0,2,4,0,1,7
2018,1,Bronx,ELDER AVENUE,6,0,1,4,0,0,5,0,4,8,0,1,13
2018,1,Bronx,Fordham Rd/Grand Concource,"B,D",0,6,4,0,0,10,0,10,21,2,1,37
2018,1,Bronx,FORDHAM ROAD,4,0,1,1,0,0,2,0,17,15,0,1,33
2018,1,Bronx,FREEMAN STREET,"2,5",0,2,7,0,2,11,0,6,9,1,2,18
2018,1,Bronx,GUN HILL ROAD,"2,5",0,3,1,0,0,4,0,7,4,0,0,11
2018,1,Bronx,HUNTS POINT AVENUE,6,0,1,4,0,0,5,0,7,12,0,0,19
2018,1,Bronx,INTERVALE AVENUE,"2,5",0,0,1,0,0,1,0,1,1,0,0,2
2018,1,Bronx,JACKSON AVENUE,"2,5",0,5,3,0,1,9,0,12,9,0,0,21
2018,1,Bronx,KINGSBRIDGE ROAD,4,0,0,2,0,0,2,0,1,2,0,0,3
2018,1,Bronx,KINGSBRIDGE ROAD,"B,D",0,10,13,0,0,24,0,22,54,0,1,78
2018,1,Bronx,LONGWOOD AVENUE,6,0,1,0,0,0,1,0,0,0,0,0,0
2018,1,Bronx,MT. EDEN AVENUE,4,0,6,4,0,1,11,1,11,22,2,2,38
2018,1,Bronx,PELHAM BAY PARK,6,0,1,0,0,0,1,0,1,1,0,0,2
2018,1,Bronx,PROSPECT AVENUE,"2,5",0,4,8,0,0,12,0,11,14,0,1,26
2018,1,Bronx,SIMPSON STREET,"2,5",0,9,7,0,0,17,0,11,12,0,1,24
2018,1,Bronx,SOUNDVIEW AVENUE,6,0,2,5,1,0,8,0,3,6,0,0,9
