nypd_station,mta_station,mta_borough,mta_borough_for_joining
149 St.-Grand Concourse (4),"149 St-Grand Concourse (2,4,5)",Bx,Bronx
161 St.-Yankee Stadium (4),"161 St-Yankee Stadium (B,D,4)",Bx,Bronx
"161 St.-Yankee Stadium (B,D)","161 St-Yankee Stadium (B,D,4)",Bx,Bronx
167 Street (4),167 St (4),Bx,Bronx
"167 Street (B,D)","167 St (B,D)",Bx,Bronx
170 Street (4),170 St (4),Bx,Bronx
"170 Street (B,D)","170 St (B,D)",Bx,Bronx
"174-175 Streets (B,D)","174-175 Sts (B,D)",Bx,Bronx
176 Street (4),176 St (4),Bx,Bronx
"182-183 Streets (B,D)","182-183 Sts (B,D)",Bx,Bronx
183 Street (4),183 St (4),Bx,Bronx
205 St.-Norwood (D),Norwood-205 St (D),Bx,Bronx
"219 Street (2,5)","219 St (2,5)",Bx,Bronx
"225 Street (2,5)","225 St (2,5)",Bx,Bronx
"238 St.-Nereid Ave. (2,5)","Nereid Av (2,5)",Bx,Bronx
241 St.-Wakefield (2),Wakefield-241 St (2),Bx,Bronx
3 Avenue-138 Street (6),3 Av-138 St (6),Bx,Bronx
"3 Avenue-149 Street (2,5)","3 Av-149 St (2,5)",Bx,Bronx
"Allerton Avenue (2,5)","Allerton Av (2,5)",Bx,Bronx
"Bronx Park East (2,5)","Bronx Park East (2,5)",Bx,Bronx
Brook Avenue (6),Brook Av (6),Bx,Bronx
"Burke Avenue (2,5)","Burke Av (2,5)",Bx,Bronx
Burnside Avenue (4),Burnside Av (4),Bx,Bronx
Castle Hill Avenue (6),Castle Hill Av (6),Bx,Bronx
Cypress Avenue (6),Cypress Av (6),Bx,Bronx
Dyre Ave.-Eastchester (5),Eastchester-Dyre Av (5),Bx,Bronx
East 149 Street (6),East 149 St (6),Bx,Bronx
"East 174 Street (2,5)","174 St (2,5)",Bx,Bronx
East 177 St.-Parkchester (6),Parkchester (6),Bx,Bronx
"East 180 Street (2,5)","East 180 St (2,5)",Bx,Bronx
East Tremont Av.-Westchester Sq. (6),Westchester Sq-East Tremont Av (6),Bx,Bronx
"East Tremont Ave.-West Farms Sq. (2,5)","West Farms Sq-East Tremont Av (2,5)",Bx,Bronx
Elder Avenue (6),Elder Av (6),Bx,Bronx
"Fordham Rd/Grand Concource (B,D)","Fordham Rd (B,D)",Bx,Bronx
Fordham Road (4),Fordham Rd (4),Bx,Bronx
"Freeman Street (2,5)","Freeman St (2,5)",Bx,Bronx
"Gun Hill Road (2,5)","Gun Hill Rd (2,5)",Bx,Bronx
Hunts Point Avenue (6),Hunts Point Av (6),Bx,Bronx
"Intervale Avenue (2,5)","Intervale Av (2,5)",Bx,Bronx
"Jackson Avenue (2,5)","Jackson Av (2,5)",Bx,Bronx
Kingsbridge Road (4),Kingsbridge Rd (4),Bx,Bronx
"Kingsbridge Road (B,D)","Kingsbridge Rd (B,D)",Bx,Bronx
Longwood Avenue (6),Longwood Av (6),Bx,Bronx
Mt. Eden Avenue (4),Mt Eden Av (4),Bx,Bronx
Pelham Bay Park (6),Pelham Bay Park (6),Bx,Bronx
"Prospect Avenue (2,5)","Prospect Av (2,5)",Bx,Bronx
"Simpson Street (2,5)","Simpson St (2,5)",Bx,Bronx
Soundview Avenue (6),Morrison Av-Soundview (6),Bx,Bronx
St. Lawrence Avenue (6),St Lawrence Av (6),Bx,Bronx
"Tremont Avenue (B,D)","Tremont Av (B,D)",Bx,Bronx
Unknown (),Unknown (),NA,NA
Woodlawn (4),Woodlawn (4),Bx,Bronx
Zerega Avenue (6),Zerega Av (6),Bx,Bronx
18 Avenue (D),18 Av (D),B,Brooklyn
20 Avenue (D),20 Av (D),B,Brooklyn
25 Avenue (D),25 Av (D),B,Brooklyn
25 Street (R),25 St (R),B,Brooklyn
"36 Street (D,N,R)","36 St (D,N,R)",B,Brooklyn
