Year,Quarter,mta_station,American Indian_arrests,Black_arrests,Hispanic_arrests,Unknown_arrests,White_arrests,Grand Total_arrests,American Indian_summonses,Black_summonses,Hispanic_summonses,Unknown_summonses,White_summonses,Grand Total_summonses
2018,1,1 Av (L),0,5,0,0,0,5,0,2,1,1,12,16
2018,1,103 St (1),0,0,0,0,0,0,0,1,0,0,0,1
2018,1,103 St (6),0,5,3,0,0,8,0,12,11,0,3,28
2018,1,"103 St (B,C)",0,0,0,0,0,0,0,0,2,0,0,2
2018,1,103 St-Corona Plaza (7),0,0,2,0,0,2,0,1,2,0,0,3
2018,1,110 St (6),0,13,7,0,1,21,0,15,18,2,4,40
2018,1,111 St (7),0,0,0,0,1,1,0,0,2,0,0,2
2018,1,111 St (A),0,0,0,0,0,0,0,1,1,0,0,2
2018,1,"116 St (2,3)",0,1,0,0,0,1,0,1,0,0,0,1
2018,1,116 St (6),0,24,25,0,1,50,0,39,39,1,6,89
2018,1,"116 St (B,C)",0,4,1,0,0,5,0,6,1,0,2,9
2018,1,116 St-Columbia University (1),0,0,0,0,0,0,0,1,1,0,1,4
2018,1,"121 St (J,Z)",0,0,0,0,0,0,0,0,1,0,0,1
2018,1,125 St (1),0,0,0,0,0,0,0,7,1,0,1,9
2018,1,"125 St (2,3)",0,4,2,1,0,7,0,8,2,1,1,12
2018,1,"125 St (4,5,6)",0,33,24,0,1,58,0,61,32,5,18,119
2018,1,"125 St (A,B,C,D)",0,12,5,0,0,17,0,63,37,1,20,123
2018,1,"135 St (2,3)",0,18,2,0,0,20,0,22,6,0,2,30
2018,1,"135 St (B,C)",0,2,0,0,0,2,0,2,1,0,1,4
2018,1,137 St-City College (1),0,0,1,0,0,1,0,3,5,0,0,8
2018,1,"138 St-Grand Concourse (4,5)",0,0,0,0,0,0,0,2,1,0,0,3
2018,1,"14 St (A,C,E)/8 Av (L)",0,4,4,0,0,9,0,16,20,7,32,80
2018,1,"14 St (F,M,1,2,3)/6 Av (L)",0,3,2,1,1,7,0,19,12,3,7,42
2018,1,"14 St-Union Sq (L,N,Q,R,W,4,5,6)",0,12,4,0,3,19,4,77,45,14,117,284
2018,1,145 St (3),0,3,0,0,0,3,0,0,0,0,0,0
2018,1,"145 St (A,B,C,D)",0,5,5,0,0,10,0,19,20,3,6,52
2018,1,"149 St-Grand Concourse (2,4,5)",0,3,1,0,0,4,0,18,9,1,2,32
2018,1,"155 St (B,D)",0,0,0,0,0,0,0,1,0,0,0,1
2018,1,157 St (1),0,2,3,0,1,6,0,3,11,1,4,20
2018,1,"161 St-Yankee Stadium (B,D,4)",0,15,9,0,1,26,0,30,41,3,1,77
2018,1,167 St (4),0,3,0,0,0,3,0,13,9,0,0,22
2018,1,"167 St (B,D)",0,1,0,0,0,1,0,10,3,0,0,13
2018,1,"168 St (A,C,1)",0,4,7,0,0,11,1,13,40,2,9,68
2018,1,169 St (F),0,7,0,1,1,11,3,15,9,15,3,51
2018,1,170 St (4),0,3,2,0,0,5,0,7,12,1,0,20
2018,1,"170 St (B,D)",0,1,1,0,0,2,0,11,8,0,0,19
2018,1,"174 St (2,5)",0,7,4,0,0,11,0,11,17,0,1,29
2018,1,"174-175 Sts (B,D)",0,7,5,0,0,12,0,28,25,1,5,64
2018,1,175 St (A),0,0,1,0,0,1,0,1,3,0,1,5
2018,1,176 St (4),0,7,6,0,1,14,0,14,10,0,1,25
2018,1,18 Av (D),0,1,1,0,0,3,0,1,6,1,6,22
2018,1,18 Av (F),0,0,0,0,0,0,0,0,0,0,0,1
2018,1,181 St (1),0,0,1,0,0,1,0,0,2,0,1,3
2018,1,181 St (A),0,0,1,0,0,1,0,3,5,0,5,13
2018,1,"182-183 Sts (B,D)",0,0,2,0,0,2,0,6,16,0,0,22
2018,1,183 St (4),0,0,3,0,1,5,0,6,6,0,1,13
2018,1,190 St (A),0,0,0,0,0,0,0,1,0,0,0,1
2018,1,191 St (1),0,1,0,0,0,1,0,1,2,0,2,6
2018,1,2 Av (F),0,8,4,0,1,13,0,7,5,1,19,35
2018,1,20 Av (D),0,0,0,0,2,2,0,0,3,1,7,12
2018,1,20 Av (N),0,0,0,0,0,0,0,0,2,1,1,10
2018,1,207 St (1),0,0,4,0,0,4,0,1,0,0,1,2
2018,1,21 St-Queensbridge (F),0,1,0,0,0,1,0,1,0,2,0,3
2018,1,"219 St (2,5)",0,9,4,0,0,13,0,12,7,1,0,20
2018,1,"225 St (2,5)",0,1,0,0,0,1,0,5,3,0,0,9
2018,1,23 St (1),0,1,0,0,0,1,0,1,0,0,1,2
2018,1,23 St (6),0,3,5,0,0,8,0,15,6,2,5,28
2018,1,"23 St (C,E)",0,8,3,0,1,12,0,11,7,0,10,31
2018,1,"23 St (F,M)",0,1,0,0,1,2,0,5,2,0,1,11
2018,1,"23 St (R,W)",0,0,1,0,0,1,0,1,1,0,6,11
2018,1,"233 St (2,5)",0,0,0,0,0,0,0,5,1,0,2,8
2018,1,238 St (1),0,0,0,0,0,0,0,1,0,0,0,1
2018,1,25 Av (D),0,1,0,0,1,2,0,0,1,0,3,4
2018,1,25 St (R),0,0,1,0,1,2,0,0,2,0,1,3
2018,1,28 St (1),0,0,0,0,0,0,0,1,2,0,1,4
2018,1,28 St (6),0,20,9,0,1,30,0,26,18,2,29,81
2018,1,"28 St (R,W)",0,0,1,0,0,2,1,3,3,0,2,9
2018,1,3 Av (L),0,0,0,0,0,0,0,1,0,0,2,4
2018,1,3 Av-138 St (6),0,9,10,0,1,20,0,17,18,0,3,39
2018,1,"3 Av-149 St (2,5)",0,24,12,0,6,42,0,48,52,0,5,109
2018,1,33 St (6),0,15,11,0,1,28,0,16,11,2,8,39
2018,1,33 St-Rawson St (7),0,0,0,0,0,0,0,1,0,0,0,1
2018,1,"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",0,5,6,3,1,17,2,91,75,43,87,343
2018,1,"34 St-Penn Station (1,2,3)",1,4,4,0,4,13,2,33,25,11,36,114
2018,1,"34 St-Penn Station (A,C,E)",0,6,7,0,1,14,0,25,9,5,15,65
2018,1,"36 St (D,N,R)",0,0,2,0,3,5,0,11,19,1,10,45
2018,1,"4 Av (F,G)/9 St (R)",0,1,0,0,0,1,0,3,3,0,6,13
2018,1,"42 St-Bryant Pk (B,D,F,M)/5 Av (7)",0,8,6,0,1,18,1,19,28,5,14,76
2018,1,45 St (R),0,3,5,0,0,8,0,1,11,0,0,13
2018,1,"47-50 Sts-Rockefeller Center (B,D,F,M)",0,0,0,0,0,0,0,11,8,4,14,38
2018,1,"49 St (N,R,W)",1,5,1,0,1,8,1,22,13,4,10,59
2018,1,"5 Av-53 St (E,M)",0,1,0,0,0,1,0,5,7,0,1,14
2018,1,"5 Av-59 St (N,R,W)",0,0,0,0,0,0,0,0,1,3,1,6
2018,1,50 St (1),0,6,0,0,3,9,0,16,21,1,23,64
2018,1,"50 St (C,E)",0,4,7,0,2,14,0,6,13,2,11,33
2018,1,52 St (7),0,1,0,0,0,1,0,0,3,0,0,4
2018,1,53 St (R),0,4,3,0,0,7,0,0,18,0,1,23
2018,1,57 St (F),0,0,0,0,0,0,0,4,0,1,4,10
2018,1,"57 St-7 Av (N,Q,R,W)",0,0,3,0,1,5,0,15,11,5,22,63
2018,1,"59 St (N,R)",0,1,12,1,5,20,0,4,35,3,12,68
2018,1,"59 St-Columbus Circle (A,B,C,D,1)",0,14,14,0,3,31,1,41,45,10,58,168
2018,1,"63 Dr-Rego Park (M,R)",0,0,0,0,1,1,3,4,7,4,5,29
2018,1,"65 St (M,R)",0,0,0,0,0,0,0,0,1,0,0,1
2018,1,66 St-Lincoln Center (1),0,1,1,0,0,2,0,9,5,0,4,18
2018,1,"67 Av (M,R)",0,0,0,0,0,0,1,0,0,2,4,12
2018,1,68 St-Hunter College (6),0,0,0,0,0,0,0,6,4,2,4,16
2018,1,69 St (7),0,0,0,0,0,0,0,0,2,1,0,3
2018,1,"7 Av (B,D,E)",0,0,0,0,0,0,0,2,0,0,1,4
2018,1,"7 Av (B,Q)",0,0,0,0,0,0,0,0,0,0,1,1
2018,1,"7 Av (F,G)",0,1,1,0,0,2,0,1,3,0,1,6
2018,1,71 St (D),0,0,0,0,0,0,0,0,2,0,2,6
2018,1,"72 St (1,2,3)",0,3,1,0,0,4,0,13,24,3,35,84
2018,1,72 St (Q),0,0,0,0,0,0,0,2,0,0,1,3
2018,1,"74-Broadway (7)/Jackson Hts-Roosevelt Av (E,F,M,R)",0,0,4,0,1,5,2,9,34,37,9,108
2018,1,"75 Av (E,F)",0,0,0,0,0,0,0,0,0,1,0,1
2018,1,77 St (6),1,0,1,0,0,2,0,3,4,1,0,8
2018,1,77 St (R),0,0,0,0,1,1,0,0,0,0,0,0
2018,1,79 St (1),0,2,2,0,0,4,0,6,4,1,2,13
2018,1,79 St (D),0,0,0,0,0,0,0,0,3,0,3,10
2018,1,8 Av (N),0,0,0,0,0,0,0,0,0,0,2,2
2018,1,80 St (A),0,0,2,0,0,2,0,7,14,7,3,40
2018,1,"81 St-Museum of Natural History (B,C)",0,0,0,0,0,0,0,0,2,0,1,3
2018,1,82 St-Jackson Hts (7),0,0,1,0,0,1,0,2,10,1,2,15
2018,1,86 St (1),0,5,2,0,0,7,1,8,12,1,6,29
2018,1,"86 St (4,5,6)",0,20,8,1,4,33,1,18,26,1,14,62
2018,1,"86 St (B,C)",0,0,0,0,0,0,0,0,1,1,1,3
2018,1,86 St (N),0,1,0,0,0,1,0,0,1,0,0,1
2018,1,86 St (Q),0,0,0,0,0,0,1,1,2,0,6,12
2018,1,86 St (R),0,1,0,0,0,1,0,4,7,2,6,22
2018,1,88 St (A),0,0,1,0,0,1,0,1,0,1,0,4
2018,1,90 St-Elmhurst Av (7),0,0,3,0,0,3,0,0,13,0,1,14
2018,1,"96 St (1,2,3)",0,3,2,0,2,7,0,4,16,0,12,39
2018,1,96 St (6),0,7,9,0,0,16,1,14,16,4,6,42
2018,1,"96 St (B,C)",0,1,0,0,0,1,0,2,0,0,0,2
2018,1,96 St (Q),0,0,0,0,0,0,0,3,1,0,9,15
2018,1,Alabama Av (J),0,2,0,0,0,2,0,1,0,0,0,1
2018,1,"Allerton Av (2,5)",0,5,2,0,0,7,0,8,8,1,0,18
2018,1,Aqueduct Racetrack (A),0,0,0,0,2,2,0,6,2,6,3,21
2018,1,Aqueduct-North Conduit Av (A),0,0,0,0,0,0,0,1,0,1,0,2
2018,1,Astor Place (6),0,0,0,0,0,0,0,2,2,0,1,5
2018,1,"Astoria-Ditmars Blvd (N,W)",0,0,0,0,0,0,0,0,0,2,0,2
2018,1,Atlantic Av (L),0,5,2,0,0,7,0,4,1,0,0,5
2018,1,"Atlantic Av-Barclays Ctr (B,D,N,Q,R,2,3,4,5)",0,7,3,0,2,13,1,49,15,4,15,88
2018,1,Avenue H (Q),0,1,0,0,0,1,0,1,1,1,3,6
2018,1,Avenue J (Q),0,2,3,0,0,5,0,2,1,0,13,20
2018,1,Avenue M (Q),0,1,1,0,1,3,0,6,4,0,12,23
2018,1,Avenue U (Q),0,0,0,0,1,1,0,0,0,0,3,3
2018,1,Bay 50 St (D),0,11,2,0,2,15,0,3,7,0,4,17
2018,1,Bay Pkwy (D),0,1,0,0,1,2,0,0,2,2,0,5
2018,1,Bay Pkwy (N),0,2,2,0,0,4,0,1,2,4,7,17
2018,1,Bay Ridge Av (R),0,0,1,0,0,1,0,1,1,0,1,3
2018,1,Bay Ridge-95 St (R),0,0,0,0,0,0,0,0,0,0,1,1
2018,1,Baychester Av (5),0,0,0,0,0,0,0,5,2,0,0,7
2018,1,Beach 25 St (A),0,4,0,0,0,4,0,32,6,3,3,44
